time_ms,weight_kg,sync
147356.0,0.4488,0
147369.0,0.3353,0
147383.0,0.3148,0
147396.0,0.3736,0
147409.0,0.3167,0
147423.0,0.3389,0
147436.0,0.4098,0
147449.0,0.3633,0
147463.0,0.4345,0
147476.0,0.3983,0
147489.0,0.3304,0
147503.0,0.3733,0
147516.0,0.4345,0
147529.0,0.3668,0
147543.0,0.3868,0
147556.0,0.4487,0
147569.0,0.4428,0
147583.0,0.3071,0
147596.0,0.4173,0
147609.0,0.4464,0
147623.0,0.4387,0
147636.0,0.3437,0
147649.0,0.3468,0
147663.0,0.4386,0
147676.0,0.4861,0
147689.0,0.3797,0
147703.0,0.4698,0
147716.0,0.5323,0
147729.0,0.4742,0
147743.0,0.3523,0
147756.0,0.4823,0
147769.0,0.4418,0
147783.0,0.4594,0
147796.0,0.4498,0
147809.0,0.4722,0
147823.0,0.4209,0
147836.0,0.5506,0
147849.0,0.3845,0
147863.0,0.4523,0
147876.0,0.4929,0
147889.0,0.3935,0
147903.0,0.3692,0
147916.0,0.3847,0
147929.0,0.3033,0
147943.0,0.3777,0
147956.0,0.3214,0
147969.0,0.3054,0
147983.0,0.2328,0
147996.0,0.354,0
148009.0,0.2935,0
148023.0,0.2882,0
148036.0,0.2841,0
148049.0,0.3148,0
148063.0,0.267,0
148076.0,0.4191,0
148089.0,0.3078,0
148103.0,0.3401,0
148116.0,0.3397,0
148129.0,0.3811,0
148143.0,0.2548,0
148156.0,0.3548,0
148169.0,0.3027,0
148183.0,0.3716,0
148196.0,0.2786,0
148209.0,0.3644,0
148223.0,0.2692,0
148236.0,0.3342,0
148249.0,0.3001,0
148263.0,0.3782,0
148276.0,0.3289,0
148289.0,0.441,0
148303.0,0.3357,0
148316.0,0.4363,0
148329.0,0.3634,0
148343.0,0.4085,0
148356.0,0.3757,0
148369.0,0.4996,0
148383.0,0.3721,0
148396.0,0.4505,0
148409.0,0.4435,0
148423.0,0.5226,0
148436.0,0.4716,0
148449.0,0.5014,0
148463.0,0.5183,0
148476.0,0.6011,0
148489.0,0.4206,0
148503.0,0.479,0
148516.0,0.4979,0
148529.0,0.4911,0
148543.0,0.376,0
148556.0,0.5247,0
148569.0,0.4389,0
148583.0,0.4573,0
148596.0,0.3952,0
148609.0,0.4888,0
148623.0,0.3871,0
148636.0,0.4597,0
148649.0,0.4082,0
148663.0,0.4872,0
148676.0,0.3962,0
148689.0,0.5031,0
148703.0,0.4247,0
148716.0,0.5776,0
148729.0,0.459,0
148743.0,0.4376,0
148756.0,0.4304,0
148769.0,0.4796,0
148783.0,0.4169,0
148796.0,0.519,0
148809.0,0.4037,0
148823.0,0.481,0
148836.0,0.4411,0
148849.0,0.4552,0
148863.0,0.3742,0
148876.0,0.4075,0
148889.0,0.3271,0
148903.0,0.4279,0
148916.0,0.456,0
148929.0,0.4043,0
148943.0,0.3696,0
148956.0,0.4974,0
148969.0,0.385,0
148983.0,0.4362,0
148996.0,0.4522,0
149009.0,0.5104,0
149023.0,0.4543,0
149036.0,0.4546,0
149049.0,0.3574,0
149063.0,0.5274,0
149076.0,0.4685,0
149089.0,0.4362,0
149103.0,0.3786,0
149116.0,0.4644,0
149129.0,0.4159,0
149143.0,0.4374,0
149156.0,0.446,0
149169.0,0.4435,0
149183.0,0.3791,0
149196.0,0.4332,0
149209.0,0.3285,0
149223.0,0.414,0
149236.0,0.394,0
149249.0,0.339,0
149263.0,0.3271,0
149276.0,0.4252,0
149289.0,0.3287,0
149303.0,0.3082,0
149316.0,0.397,0
149329.0,0.4187,0
149343.0,0.3695,0
149356.0,0.3933,0
149369.0,0.2967,0
149383.0,0.3597,0
149396.0,0.3677,0
149409.0,0.3166,0
149423.0,0.297,0
149436.0,0.378,0
149449.0,0.2533,0
149463.0,0.2197,0
149476.0,0.2803,0
149489.0,0.2345,0
149503.0,0.2135,0
149516.0,0.2601,0
149529.0,0.1774,0
149543.0,0.1973,0
149556.0,0.245,0
149569.0,0.2241,0
149583.0,0.2109,0
149596.0,0.2855,0
149609.0,0.1921,0
149623.0,0.2313,0
149636.0,0.2946,0
149649.0,0.2834,0
149663.0,0.2959,0
149676.0,0.3522,0
149689.0,0.2742,0
149703.0,0.2826,0
149716.0,0.2933,0
149729.0,0.327,0
149743.0,0.322,0
149756.0,0.2742,0
149769.0,0.1966,0
149783.0,0.2471,0
149796.0,0.2638,0
149809.0,0.1688,0
149823.0,0.2152,0
149836.0,0.2834,0
149849.0,0.2033,0
149863.0,0.1549,0
149876.0,0.2338,0
149889.0,0.3096,0
149903.0,0.3295,0
149916.0,0.2749,0
149929.0,0.2587,0
149943.0,0.4085,0
149956.0,0.4302,0
149969.0,0.3888,0
149983.0,0.479,0
149996.0,0.5451,0
150009.0,0.4539,0
150023.0,0.3719,0
150036.0,0.4444,0
150049.0,0.4252,0
150063.0,0.4357,0
150076.0,0.3712,0
150089.0,0.2732,0
150103.0,0.3016,0
150116.0,0.3783,0
150129.0,0.3089,0
150143.0,0.3359,0
150156.0,0.3967,0
150169.0,0.3601,0
150183.0,0.3521,0
150196.0,0.4421,0
