time_ms,weight_kg,accel_x,accel_y,accel_z,tilt_x,tilt_y,sync
1991448.0,-2.037,0.1053,0.6321,9.6822,3.735,-0.623,0
1991498.0,-2.0221,0.091,0.6608,9.6103,3.933,-0.542,0
1991548.0,-2.0967,0.1437,0.7374,9.6774,4.357,-0.85,0
1991598.0,-2.0821,0.2873,0.4166,9.8833,2.413,-1.665,0
1991648.0,-2.0948,0.2394,0.4693,9.7396,2.758,-1.408,0
1991698.0,-2.0434,0.0144,0.3639,9.754,2.137,-0.084,0
1991748.0,-2.0633,0.2107,0.3879,9.6965,2.29,-1.245,0
1991798.0,-2.0617,0.1006,0.7518,9.8545,4.362,-0.585,0
1991848.0,-2.0251,0.1963,0.8571,9.7396,5.028,-1.155,0
1991898.0,-2.0753,0.1101,0.5363,9.7492,3.148,-0.647,0
1991948.0,-2.0416,0.158,0.3304,9.7205,1.946,-0.931,0
1991998.0,-1.9465,-0.0144,0.3591,9.754,2.109,0.084,0
1992048.0,-1.9617,-0.0287,0.2107,9.6199,1.255,0.171,0
1992098.0,-2.0552,0.0814,0.6512,9.754,3.82,-0.478,0
1992148.0,-2.0684,0.2107,0.5746,9.7444,3.374,-1.239,0
1992198.0,-2.0963,0.2825,0.5794,9.7252,3.408,-1.664,0
1992248.0,-2.1133,0.2155,0.2777,9.845,1.616,-1.254,0
1992298.0,-2.0821,0.0048,0.3591,9.8833,2.081,-0.028,0
1992348.0,-2.059,0.158,0.4549,9.7827,2.662,-0.925,0
1992398.0,-1.9789,-0.0192,0.3639,9.73,2.142,0.113,0
1992448.0,-2.0444,0.1341,0.2682,9.6438,1.593,-0.797,0
1992498.0,-2.1905,0.1293,0.9864,9.9024,5.688,-0.748,0
1992548.0,-2.0963,0.1676,0.4022,9.7779,2.355,-0.982,0
1992598.0,-2.0996,0.1245,0.3926,9.7923,2.296,-0.728,0
1992648.0,-2.0345,0.0527,0.5459,9.6822,3.227,-0.312,0
1992698.0,-2.0372,0.1053,0.4022,9.7157,2.371,-0.621,0
1992748.0,-2.0308,0.1053,0.5507,9.6726,3.258,-0.624,0
1992798.0,-2.0633,0.1628,0.6704,9.8737,3.884,-0.945,0
1992848.0,-2.0701,0.0575,0.6129,9.7683,3.59,-0.337,0
1992898.0,-2.0018,0.0431,0.3831,9.7157,2.258,-0.254,0
1992948.0,-2.0336,0.0431,0.4357,9.6343,2.59,-0.256,0
1992998.0,-2.0277,-0.0287,0.3879,9.6965,2.291,0.17,0
1993048.0,-2.1016,0.1245,0.2203,9.754,1.294,-0.731,0
1993098.0,-2.0407,0.1628,0.6033,9.7971,3.524,-0.952,0
1993148.0,-2.0579,0.1867,0.7614,9.821,4.432,-1.089,0
1993198.0,-2.0601,0.0335,0.4262,9.6917,2.518,-0.198,0
1993248.0,-2.095,0.1149,0.3783,9.7731,2.216,-0.674,0
1993298.0,-2.0309,0.0239,0.316,9.8067,1.846,-0.14,0
1993348.0,-2.0479,0.1341,0.3591,9.7157,2.117,-0.791,0
1993398.0,-2.063,0.0862,0.8284,9.8067,4.828,-0.504,0
1993448.0,-2.0877,0.2203,0.814,9.8881,4.705,-1.276,0
