0.036,-0.004,0.007,-6.26,-79.51,0
-0.041,0.025,0.007,30.87,80.79,0
0.048,-0.006,0.002,-7.61,-87.8,0
-0.026,0.006,0.019,9.79,54.94,0
-0.003,-0.009,-0.005,-55.98,154.47,0
0.026,0.018,0.014,30.68,-62.19,0
0.002,-0.028,0.004,-80.28,-27.85,0
0.009,0.008,0.016,23.07,-30.17,0
-0.007,0.015,-0.02,35.78,159.57,0
0.026,-0.021,0.016,-33.98,-58.25,0
0.007,0.006,-0.025,12.36,-164.01,0
0.005,0.003,0.007,21.56,-34.95,0
0.014,-0.042,0.011,-66.69,-51.22,0
-0.022,-0.004,-0.005,-10.12,103.84,0
0.019,0.008,-0.013,19.33,-123.41,0
0.002,0.001,0.016,2.79,-7.85,0
0.012,-0.016,0.028,-27.59,-22.75,0
-0.017,0.015,0.002,41.7,83.81,0
0.019,-0.004,-0.029,-6.52,-147.04,0
-0.031,0.025,-0.022,32.86,125.25,0
0.019,-0.014,-0.013,-30.8,-123.41,0
0.024,-0.023,-0.048,-23.21,-153.85,0
0.036,0.018,-0.034,19.57,-133.63,0
-0.017,0.003,0.028,5.55,30.99,0
-0.003,-0.018,-0.048,-20.73,176.98,0
-0.003,-0.002,-0.001,-31.41,102.36,0
0.009,0.02,-0.005,61.51,-119.59,0
-0,-0.011,-0.02,-29.54,179.54,0
-0.026,0.015,-0.005,29.29,101.41,0
0.019,-0.014,-0.017,-27.83,-132.36,0
-0,0.03,0.035,39.87,0.26,0
-0,-0.006,-0.005,-50.04,178.29,0
0.021,0.006,-0.017,11.47,-129,0
-0.01,-0.026,0.031,-38.52,17.67,0
-0,-0.018,-0.003,-80.85,176.91,0
-0,-0.018,-0.001,-88.18,164.08,0
0.014,-0.03,0.004,-63.95,-73.42,0
0.002,-0.018,-0.017,-46.43,-172.65,0
-0.017,-0.004,-0.001,-13.26,91.9,0
0.005,-0.021,-0.025,-39.77,-169.3,0
-0.019,-0.002,0.009,-4.28,64.97,0
-0,0.02,-0.017,49.04,179.47,0
0.012,-0.014,0.019,-31.63,-32.43,0
0.012,-0.002,0.04,-2.18,-16.4,0
0.029,-0.002,-0.015,-2.83,-117.58,0
0.009,0.003,0.014,10.81,-34.3,0
0.026,0.013,0.014,23.34,-62.19,0
0.005,0.006,0.002,48.29,-68.38,0
-0.005,-0.018,0.023,-37.52,11.95,0
0.024,0.003,0.007,7.37,-74.44,0
-0.015,0.006,0.023,11.47,31.85,0
-0.019,-0.009,0.021,-17.11,42.62,0
0.002,-0.004,0.043,-5.35,-3.01,0
0.014,-0.009,-0.008,-28.49,-118.59,0
0.014,-0.011,0.002,-37.96,-82.64,0
0.005,-0.004,0.05,-4.57,-5.32,0
0.014,-0.004,-0.005,-14.73,-110.63,0
0.038,-0.035,0.023,-38.13,-58.49,0
0.009,-0.009,-0.02,-21.89,-154.47,0
-0.015,0.015,-0.01,40.57,124.91,0
-0,0.003,0.009,19.49,1.01,0
-0.022,-0.011,-0.029,-17.04,143.46,0
0.007,0.001,0.033,1.36,-12.03,0
0.005,0.02,-0.017,48.06,-165.04,0
-0,0.02,-0.008,68.79,178.82,0
0.009,0.003,0.007,15.5,-54.88,0
0.014,-0.004,0.016,-10.49,-41.25,0
-0.003,0.025,-0.034,35.9,175.71,0
-0.007,0.006,-0.001,37.19,94.36,0
0.029,-0.002,-0.008,-3.09,-105.16,0
0.007,-0.002,0.009,-7.95,-37.91,0
0.017,0.032,0.035,39.26,-25.15,0
-0.005,0.018,0.023,36.3,11.95,0
-0.007,0.001,-0.025,1.79,163.32,0
0.014,0.01,-0.001,36.12,-92.26,0
-0.005,-0.002,0.009,-8.82,28.76,0
0.024,0.018,-0.015,32.02,-122.11,0
-0.026,0.037,-0.005,53.64,101.41,0
0.024,0.01,0.007,22.79,-74.44,0
-0.01,-0.028,-0.025,-46.65,158.33,0
-0.026,-0.021,-0.008,-36.93,106.29,0
0.019,-0.002,-0.041,-2.01,-155.28,0
-0.007,-0.026,0.021,-48.95,19.28,0
0.024,-0.009,0.028,-13.39,-40.17,0
0.007,0.006,-0.025,12.36,-164.01,0
-0,-0.009,0.014,-32.45,0.66,0
-0.01,0.018,-0.003,59.91,106.88,0
-0.005,-0.035,0.021,-58.45,13.27,0
0.021,-0.009,0.04,-10.92,-28.05,0
-0.031,0.01,-0.003,18.27,95.39,0
0.029,0.027,-0.008,42.51,-105.16,0
0.007,0.008,-0.022,18.99,-162.38,0
-0.029,0.041,0.033,43.44,41.24,0
0.045,-0.004,-0.017,-4.7,-110.91,0
-0.031,-0.035,0.016,-44.91,62.62,0
0.017,0.032,-0.029,43.48,-150.46,0
-0.024,0.003,0.014,6.56,60.2,0
-0.012,-0.009,-0.008,-31.38,122.55,0
0.026,-0.035,-0.005,-52.73,-101.55,0
-0.029,-0.016,-0.029,-21.2,135.39,0
